marker name	GF1	GF5	polymorphism
504-1	one same product	one same product	no
504-2	large product	small product	good
504-3	one same product	one same product	no
504-4	large product	samll product	produc's size is very close 
504-5	one same product	one same product	no
504-6	one same product	one same product	no
504-7	no product	one same product	yes
504-8	one same product	one same product	no
504-9	one same product	one same product	no
504-10	two same products	two same products	no
504-11	same product	same product	no
504-12	no product	one product	yes
504-13	one same product	one same product	no
504-14	one same product	one same product	no
504-15	one same product	one same product	no
504-16	one same product	one same product	no
504-17	one small product	one large product	produc's size is very close 
504-18	one same product	one same product	no
504-19	one same product	one same product	no
913-7	small product	large product	produc's size is very close 
